State,Region,Division,County,FIPS,GEOID,SMS Region,Year,Premature death,Poor or fair health,Poor physical health days,Poor mental health days,Low birthweight,Adult smoking,Adult obesity,Food environment index,Physical inactivity,Access to exercise opportunities,Excessive drinking,Alcohol-impaired driving deaths,Sexually transmitted infections,Teen births,Uninsured,Primary care physicians,Dentists,Mental health providers,Preventable hospital stays,Diabetic screening,Mammography screening,High school graduation,Some college,Unemployment,Children in poverty,Income inequality,Children in single-parent households,Social associations,Violent crime,Injury deaths,Air pollution - particulate matter,Drinking water violations,Severe housing problems,Driving alone to work,Long commute - driving alone,2011 population estimate,Population that is not proficient in English,Population living in a rural area,Diabetes,HIV prevalence rate,Premature age-adjusted mortality,Infant mortality,Child mortality,Food insecurity,Limited access to healthy foods,Motor vehicle crash deaths,Drug poisoning deaths,Uninsured adults,Uninsured children,Health care costs,Could not see doctor due to cost,Other primary care providers,Median household income,Children eligible for free lunch,Homicide rate,Inadequate social support
NC,South,South Atlantic,Alamance County,37001,37001,Region 20,1/1/2014,7123.0,0.192,3.8,3.6,0.09,0.238,0.341,6.532,0.273,0.774,0.123,0.351,459.9,42.4,0.206,55.0,44.0,76.0,48.21,0.89,0.72,0.763,0.578,0.094,0.292,,0.411,,426.16,63.4,12.47,0.019,0.167,0.815,0.282,153920,0.034,0.286,0.124,250.2,372.7,8.3,62.7,0.174,0.113,12.95,10.48,0.259,0.073,8640.0,0.167,46.0,41394,0.444,4.94,0.202
NC,South,South Atlantic,Alamance County,37001,37001,Region 20,1/1/2015,7291.0,0.192,3.8,3.6,0.09,0.238,0.332,6.2,0.257,0.842,0.123,0.291,471.0,40.3,0.203,57.0,45.0,140.0,44.19,0.89,0.72,0.758,0.575,0.08,0.271,4.52,0.408,10.915,420.93,61.2,12.47,0.305,0.167,0.826,0.29,154378,0.033,0.286,0.122,250.2,376.6,7.7,57.7,0.171,0.113,11.51,12.38,0.249,0.088,9050.0,0.167,56.0,43001,0.455,4.6,
NC,South,South Atlantic,Alexander County,37003,37003,Region 20,1/1/2014,7974.0,0.178,4.3,4.6,0.08,0.26,0.272,7.825,0.233,0.114,0.119,0.125,213.0,44.2,0.195,19.0,16.0,18.0,65.93,0.89,0.67,0.77,0.419,0.101,0.25,,0.261,,161.9,91.3,12.87,0.0,0.134,0.831,0.334,36853,0.008,0.728,0.108,97.9,399.7,8.6,50.2,0.156,0.023,20.78,22.74,0.24,0.077,9316.0,0.205,30.0,39655,0.417,6.27,0.273
NC,South,South Atlantic,Alexander County,37003,37003,Region 20,1/1/2015,8079.0,0.178,4.3,4.6,0.08,0.26,0.283,7.4,0.234,0.24,0.119,0.167,206.2,42.1,0.194,19.0,16.0,43.0,58.47,0.91,0.68,0.85,0.433,0.078,0.229,3.997,0.274,17.095,142.45,84.9,12.87,0.0,0.142,0.834,0.353,36930,0.008,0.728,0.106,97.9,395.3,8.0,33.1,0.159,0.023,19.0,24.04,0.239,0.076,9242.0,0.205,32.0,46064,0.449,7.2,
NC,South,South Atlantic,Alleghany County,37005,37005,Insuff Data,1/1/2014,8817.0,0.234,3.9,4.4,0.08,0.271,0.247,7.561,0.314,0.695,0.165,0.417,208.1,53.8,0.272,109.0,18.0,145.0,88.99,0.93,0.72,0.825,0.464,0.106,0.347,,0.361,,,95.6,12.93,0.065,0.15,0.778,0.326,10927,0.02,1.0,0.114,,398.6,,,0.174,0.014,19.48,18.18,0.32,0.131,9585.0,0.21,55.0,34046,0.523,,0.215
NC,South,South Atlantic,Alleghany County,37005,37005,Insuff Data,1/1/2015,7324.0,0.234,3.9,4.4,0.07,0.271,0.235,7.4,0.315,0.71,0.165,0.308,155.6,57.5,0.269,110.0,18.0,229.0,69.97,0.9,0.67,0.875,0.507,0.089,0.326,4.777,0.276,17.388,,97.5,12.93,0.063,0.144,0.789,0.348,10939,0.018,1.0,0.113,,372.1,,,0.164,0.014,18.09,19.38,0.319,0.119,9423.0,0.21,73.0,37086,0.546,,
NC,South,South Atlantic,Anson County,37007,37007,Region 20,1/1/2014,10220.0,0.191,4.0,,0.12,0.198,0.346,6.229,0.29,0.197,,0.176,725.3,60.7,0.174,45.0,24.0,83.0,58.46,0.85,0.66,0.76,0.377,0.119,0.366,,0.576,,455.74,90.3,12.38,0.0,0.157,0.796,0.289,26351,0.009,0.785,0.133,389.2,491.9,10.4,65.4,0.232,0.031,27.28,11.23,0.218,0.063,9060.0,0.159,19.0,32339,0.0,11.23,0.256
NC,South,South Atlantic,Anson County,37007,37007,Region 20,1/1/2015,9599.0,0.191,4.0,,0.11,0.198,0.351,5.9,0.285,0.072,,0.121,694.5,59.1,0.187,42.0,27.0,149.0,59.2,0.86,0.66,0.74,0.406,0.098,0.379,4.484,0.563,10.246,477.16,85.3,12.38,0.0,0.164,0.797,0.292,26161,0.009,0.785,0.136,389.2,478.7,,85.8,0.227,0.031,27.82,12.84,0.233,0.067,8855.0,0.159,23.0,33443,0.693,10.4,
NC,South,South Atlantic,Ashe County,37009,37009,Insuff Data,1/1/2014,7521.0,0.225,4.8,3.5,0.09,0.24,0.225,7.783,0.277,0.377,0.086,0.348,103.2,57.0,0.224,44.0,22.0,95.0,85.42,0.89,0.7,0.81,0.473,0.115,0.31,,0.271,,140.15,97.1,12.96,0.0,0.142,0.779,0.323,27097,0.02,0.849,0.096,30.8,376.3,,,0.157,0.025,22.11,16.18,0.265,0.093,8939.0,0.187,59.0,34080,0.338,,0.224
NC,South,South Atlantic,Ashe County,37009,37009,Insuff Data,1/1/2015,7900.0,0.225,4.8,3.5,0.09,0.24,0.243,7.3,0.275,0.605,0.086,0.333,81.2,56.1,0.242,48.0,26.0,169.0,81.2,0.92,0.67,0.8,0.491,0.102,0.332,4.652,0.29,12.917,107.2,90.8,12.96,0.052,0.142,0.785,0.329,27151,0.018,0.849,0.1,30.8,378.1,,,0.163,0.025,19.13,18.6,0.288,0.096,8718.0,0.187,63.0,35155,0.363,,
